Joueur;WinPren;PartiePren;WrPren;;WinPart;PartiePart;WrPart;;WinOpp;PartieOpp;WrOpp
Nicolas;26;29;89.66%;;25;31;80.65%;;41;108;37.96%
Killian;24;27;88.89%;;19;26;73.08%;;29;85;34.12%
Tom;11;12;91.67%;;20;25;80.00%;;26;73;35.62%
Enzo;6;7;85.71%;;5;8;62.50%;;10;29;34.48%
Rémi;5;7;71.43%;;12;16;75.00%;;17;44;38.64%
Antoine;7;10;70.00%;;9;14;64.29%;;10;22;45.45%
Tomm;21;36;58.33%;;12;17;70.59%;;17;48;35.42%
Clément;15;19;78.95%;;8;15;53.33%;;12;39;30.77%
Heloise;0;0;0.00%;;1;1;100.00%;;0;2;0.00%
Félix;6;7;85.71%;;1;1;100.00%;;11;30;36.67%
Caroline;7;8;87.50%;;8;14;57.14%;;7;32;21.88%
Joel;0;1;0.00%;;1;3;33.33%;;1;2;50.00%
Théophile;9;17;52.94%;;6;8;75.00%;;6;36;16.67%
Alexis;5;19;26.32%;;13;15;86.67%;;20;57;35.09%
Anthelme;13;27;48.15%;;13;19;68.42%;;17;84;20.24%
